,0
2018-12-01,409.27087682118685
2019-01-01,410.50295445871006
2019-02-01,411.3204340731476
2019-03-01,412.3672191569412
2019-04-01,413.90521114684657
2019-05-01,414.5814532394474
2019-06-01,413.907753184465
2019-07-01,412.23881885111786
2019-08-01,410.09642502098575
2019-09-01,408.46945573578
2019-10-01,408.60465496925025
2019-11-01,410.0750199079844
2019-12-01,411.5814824488704
2020-01-01,412.81942614711033
2020-02-01,413.6404278272958
2020-03-01,414.69202442433
2020-04-01,416.2375913884613
2020-05-01,416.91654761222134
2020-06-01,416.23795927585104
2020-07-01,414.5585409313692
2020-08-01,412.403009947828
2020-09-01,410.7658134625857
2020-10-01,410.90069709831886
2020-11-01,412.37824582174846
2020-12-01,413.8920880765539
2021-01-01,415.13589783551066
2021-02-01,415.960421581444
2021-03-01,417.0168296917188
2021-04-01,418.56997163007594
2021-05-01,419.2516419849952
2021-06-01,418.56816536723716
2021-07-01,416.8782630116205
2021-08-01,414.7095948746703
2021-09-01,413.0621711893914
2021-10-01,413.1967392273874
2021-11-01,414.68147173551256
2021-12-01,416.20269370423745
2022-01-01,417.452369523911
2022-02-01,418.2804153355922
2022-03-01,419.34163495910747
2022-04-01,420.9023518716906
2022-05-01,421.5867363577692
2022-06-01,420.8983714586233
2022-07-01,419.19798509187183
2022-08-01,417.0161798015125
2022-09-01,415.3585289161971
2022-10-01,415.492781356456
2022-11-01,416.98469764927665
2022-12-01,418.51329933192096
2023-01-01,419.76884121231126
2023-02-01,420.60040908974025
2023-03-01,421.66644022649626
2023-04-01,423.2347321133053
2023-05-01,423.92183073054315
2023-06-01,423.2285775500094
2023-07-01,421.5177071721231
2023-08-01,419.32276472835474
2023-09-01,417.6548866430028
2023-10-01,417.78882348552463
2023-11-01,419.28792356304075
2023-12-01,420.8239049596045
2024-01-01,422.0853129007116
2024-02-01,422.92040284388844
2024-03-01,423.99124549388506
2024-04-01,425.56711235492
2024-05-01,426.25692510331703
2024-06-01,425.55878364139545
2024-07-01,423.8374292523744
2024-08-01,421.629349655197
2024-09-01,419.9512443698085
2024-10-01,420.0848656145932
2024-11-01,421.5911494768048
2024-12-01,423.13451058728805
2025-01-01,424.40178458911186
2025-02-01,425.2403965980366
2025-03-01,426.3160507612738
2025-04-01,427.8994925965347
2025-05-01,428.59201947609097
2025-06-01,427.88898973278157
2025-07-01,426.15715133262574
2025-08-01,423.9359345820393
2025-09-01,422.2476020966141
2025-10-01,422.38090774366174
2025-11-01,423.8943753905689
2025-12-01,425.44511621497156
2026-01-01,426.7182562775122
2026-02-01,427.56039035218475
2026-03-01,428.64085602866254
2026-04-01,430.23187283814934
2026-05-01,430.92711384886496
2026-06-01,430.2191958241677
2026-07-01,428.476873412877
2026-08-01,426.2425195088815
2026-09-01,424.54395982341987
2026-10-01,424.67694987273035
2026-11-01,426.197601304333
2026-12-01,427.75572184265513
2027-01-01,429.03472796591245
2027-02-01,429.88038410633294
2027-03-01,430.96566129605134
2027-04-01,432.56425307976406
2027-05-01,433.26220822163884
2027-06-01,432.54940191555374
2027-07-01,430.79659549312834
2027-08-01,428.54910443572373
2027-09-01,426.84031755022556
2027-10-01,426.97299200179896
2027-11-01,428.500827218097
2027-12-01,430.0663274703386
2028-01-01,431.3511996543128
2028-02-01,432.20037786048107
2028-03-01,433.2904665634401
2028-04-01,434.8966333213787
2028-05-01,435.5973025944128
2028-06-01,434.8796080069399
2028-07-01,433.11631757337966
2028-08-01,430.855689362566
2028-09-01,429.13667527703126
2028-10-01,429.2690341308675
2028-11-01,430.8040531318611
2028-12-01,432.37693309802216
2029-01-01,433.6676713427131
2029-02-01,434.5203716146292
2029-03-01,435.6152718308288
2029-04-01,437.22901356299343
2029-05-01,437.9323969671867
2029-06-01,437.20981409832604
2029-07-01,435.436039653631
2029-08-01,433.16227428940823
2029-09-01,431.4330330038369
2029-10-01,431.5650762599361
2029-11-01,433.1072790456252
2029-12-01,434.6875387257057
2030-01-01,435.9841430311134
2030-02-01,436.8403653687774
2030-03-01,437.9400770982176
2030-04-01,439.5613938046081
2030-05-01,440.2674913399607
2030-06-01,439.5400201897121
2030-07-01,437.75576173388225
2030-08-01,435.4688592162505
2030-09-01,433.72939073064265
2030-10-01,433.86111838900473
2030-11-01,435.41050495938924
2030-12-01,436.9981443533892
2031-01-01,438.30061471951365
2031-02-01,439.16035912292557
2031-03-01,440.26488236560635
2031-04-01,441.8937740462228
2031-05-01,442.6025857127346
2031-06-01,441.8702262810982
2031-07-01,440.0754838141336
2031-08-01,437.7754441430928
2031-09-01,436.02574845744834
